                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1571,                  4.444,                 1.1483,                      0,                      0,                      0,                      0,                 1.7873,                 5.6019,                 1.5319,                  2e-05,                  2e-05,                  2e-05
                      2,                  1.471,                 4.5955,                  1.337,                      0,                      0,                      0,                      0,                  1.454,                 5.2466,                 1.3999,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                 1.1761,                 4.2815,                 1.0764,                      0,                      0,                      0,                      0,                 1.4638,                 5.1325,                 1.2111,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                0.78613,                 3.7592,                0.94183,                0.00111,                  0.125,                0.00076,                0.00015,                 1.5688,                 4.9043,                 1.1202,             0.00013168,             0.00013168,             0.00013168
                      5,                 1.0788,                 3.6281,                 1.0146,                0.00222,                   0.25,                0.00197,                0.00134,                 1.6715,                 4.7453,                0.99661,             0.00016574,             0.00016574,             0.00016574
                      6,                0.92026,                 3.1453,                0.87062,                0.00222,                   0.25,                0.00203,                0.00138,                 1.4152,                 4.2975,                0.92926,             0.00019822,             0.00019822,             0.00019822
                      7,                 1.0097,                 2.7845,                0.96192,                0.00222,                   0.25,                0.00199,                 0.0016,                 1.2108,                 4.1149,                0.89395,             0.00022911,             0.00022911,             0.00022911
                      8,                 1.2998,                 2.8182,                   1.07,                0.00333,                  0.375,                0.00365,                0.00153,                 1.2541,                 3.9695,                0.90247,             0.00025842,             0.00025842,             0.00025842
                      9,                0.97513,                 2.2013,                0.97718,                0.00556,                  0.625,                0.00734,                0.00249,                 1.3035,                 3.8828,                0.91247,             0.00028614,             0.00028614,             0.00028614
                     10,                 1.0891,                 2.3045,                 0.9604,                0.00556,                  0.625,                0.00661,                0.00228,                 1.4144,                 3.9726,                0.91363,             0.00031228,             0.00031228,             0.00031228
                     11,                 1.2406,                 2.4085,                 1.0296,                0.00556,                  0.625,                 0.0063,                0.00248,                 1.4612,                 4.1121,                0.91015,             0.00033684,             0.00033684,             0.00033684
                     12,                0.84356,                 1.9976,                0.89478,                0.00556,                  0.625,                0.00642,                0.00246,                  1.487,                 4.0888,                0.90961,             0.00035981,             0.00035981,             0.00035981
                     13,                0.96194,                 2.2927,                  0.973,                0.00444,                    0.5,                0.00566,                0.00266,                 1.4562,                 3.9334,                 0.8992,              0.0003812,              0.0003812,              0.0003812
                     14,                 1.1028,                 2.2257,                0.95352,                0.00444,                    0.5,                0.00566,                0.00291,                 1.3752,                  3.838,                0.88237,               0.000401,               0.000401,               0.000401
                     15,                  1.021,                  2.329,                0.95214,                0.00444,                    0.5,                0.00572,                 0.0032,                 1.2727,                 3.8445,                0.86946,             0.00041922,             0.00041922,             0.00041922
                     16,                  1.003,                 2.2137,                 0.9441,                0.00556,                  0.625,                0.00616,                0.00333,                 1.3143,                 3.7989,                0.86564,             0.00043586,             0.00043586,             0.00043586
                     17,                 1.0086,                 1.7675,                0.98769,                0.00444,                    0.5,                0.00554,                0.00313,                 1.3023,                 3.7729,                0.86338,             0.00045091,             0.00045091,             0.00045091
                     18,                 1.0536,                 1.7571,                0.98214,                0.00444,                    0.5,                0.00573,                0.00273,                 1.3535,                 3.7659,                 0.8831,             0.00046438,             0.00046438,             0.00046438
                     19,                 1.1029,                 2.2024,                0.99223,                0.00444,                    0.5,                0.00583,                0.00264,                 1.5239,                 3.7313,                0.92443,             0.00047626,             0.00047626,             0.00047626
                     20,                  1.181,                 2.2452,                0.98199,                0.00444,                    0.5,                0.00572,                0.00279,                 1.5993,                 3.8407,                0.95813,             0.00048656,             0.00048656,             0.00048656
                     21,                 1.3251,                 2.1347,                 1.0158,                0.00333,                  0.375,                 0.0039,                0.00255,                 1.5908,                 3.9227,                0.94961,             0.00049528,             0.00049528,             0.00049528
                     22,                 1.0613,                 2.0758,                0.99085,                0.00333,                  0.375,                0.00347,                0.00246,                  1.504,                 4.0142,                0.93317,             0.00050241,             0.00050241,             0.00050241
                     23,                 1.0254,                 1.8511,                0.93764,                0.00333,                  0.375,                0.00333,                0.00236,                 1.4504,                 3.9803,                0.92433,             0.00050796,             0.00050796,             0.00050796
                     24,                   1.03,                 2.1578,                 0.9133,                0.00444,                    0.5,                0.00489,                 0.0032,                  1.351,                 3.9452,                0.92175,             0.00051192,             0.00051192,             0.00051192
                     25,                0.91033,                 1.6992,                0.91044,                0.00556,                  0.625,                0.00816,                0.00447,                 1.3825,                 3.7317,                0.92549,              0.0005143,              0.0005143,              0.0005143
                     26,                 0.8193,                 1.5459,                0.88914,                0.00556,                  0.625,                0.13604,                0.08224,                 1.4251,                 3.5457,                0.92602,              0.0005151,              0.0005151,              0.0005151
                     27,                0.88525,                 1.9735,                0.97549,                0.00556,                  0.625,                0.12677,                 0.0793,                 1.4838,                 3.5879,                0.93054,             0.00051431,             0.00051431,             0.00051431
                     28,                0.95261,                 1.7718,                0.86305,                0.00556,                  0.625,                0.12677,                 0.0793,                 1.4838,                 3.5879,                0.93054,             0.00051194,             0.00051194,             0.00051194
                     29,                 1.1704,                 1.9192,                0.98798,                0.00556,                  0.625,                0.16349,                0.11049,                 1.4274,                 3.6418,                0.93496,             0.00050798,             0.00050798,             0.00050798
                     30,                0.75002,                 1.5559,                0.86905,                0.00556,                  0.625,                0.16859,                0.12184,                  1.433,                 3.4915,                0.91795,             0.00050244,             0.00050244,             0.00050244
                     31,                0.65814,                 1.6755,                0.89624,                0.08777,                    0.5,                0.28751,                0.21101,                 1.3543,                 3.2197,                0.91561,             0.00049532,             0.00049532,             0.00049532
                     32,                0.95472,                 1.6664,                0.83862,                0.08777,                    0.5,                0.28751,                0.21101,                 1.3543,                 3.2197,                0.91561,             0.00048661,             0.00048661,             0.00048661
                     33,                0.96627,                 1.7047,                0.92491,                0.51626,                   0.25,                0.33318,                0.25706,                 1.3531,                 3.0749,                0.92017,             0.00047632,             0.00047632,             0.00047632
                     34,                0.87554,                 1.7069,                0.91035,                0.58245,                   0.25,                0.31892,                0.23506,                   1.33,                 3.0351,                0.92476,             0.00046444,             0.00046444,             0.00046444
